claimed_title,matched_title,matched_source,doi,confidence_score,classification,verification_strength,reason
Industrial ethanol from banana peels for developing countries: Response surface methodology,Industrial ethanol from banana peels for developing countries: Response surface methodology,Crossref,10.1016/j.psra.2016.06.002,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Sorption of cyanide from aqueous medium by coffee husk: Response surface methodology,Sorption of cyanide from aqueous medium by coffee husk: Response surface methodology,Crossref,10.1016/j.jart.2016.11.002,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Electricity production from macroalgae by a microbial fuel cell using nickel nanoparticles as cathode catalysts,Electricity production from macroalgae by a microbial fuel cell using nickel nanoparticles as cathode catalysts,Crossref,10.1016/j.ijhydene.2017.10.127,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Sorption of DDT from synthetic aqueous solution by eucalyptus barkusing response surface methodology,Sorption of DDT from synthetic aqueous solution by eucalyptus barkusing response surface methodology,Crossref,10.1016/j.surfin.2016.07.003,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Optimization of banana peels hydrolysis for the production of bioethanol: response surface methodology,Optimization of Banana Peels Hydrolysis for the Production of Bioethanol: Response Surface Methodology,Crossref,10.56431/p-f6oa7x,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Carbon-decorated hydrated V10O24 nanorods for high-performance lithium-ion battery cathodes,Carbon-decorated hydrated V10O24 nanorods for high-performance lithium-ion battery cathodes,Crossref,10.1016/j.est.2024.113888,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Optimization of distillery-sourced wastewater anaerobic digestion for biogas production,Optimization of distillery-sourced wastewater anaerobic digestion for biogas production,Crossref,10.2139/ssrn.5125060,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
"Comparative potential of biogas production from the distillery, fruit and vegetable waste and their mixtures (digestion)","Comparative potential of biogas production from the distillery, fruit and vegetable waste and their mixtures (digestion)",Crossref,10.1016/j.heliyon.2025.e42068,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
"Characterization of acid activation of bentonite clay of Hadar, Afar, Ethiopia","Characterization of Acid Activation of Bentonite Clay of Hadar, Afar, Ethiopia",Crossref,10.1155/2024/6413786,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Conversion of tannery solid wastes into fuel briquettes using wastepaper as a binder,Conversion of Tannery Solid Wastes into Fuel Briquettes Using Wastepaper as a Binder,Crossref,10.31881/tlr.2023.124,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Urea-Enhanced Solubilization of Lithium Nitrate for Improved Lithium Metal Cycling: Experimental and Molecular Dynamics Investigation,Urea-enhanced solubilization of lithium nitrate for improved lithium metal cycling: experimental and molecular dynamics investigation,Crossref,10.1039/d5ta07895d,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
Enhanced lithium storage in Fe-doped Li3V2(PO4)3–Li3PO4/C composite cathodes,Enhanced lithium storage in Fe-doped Li3V2(PO4)3–Li3PO4/C composite cathodes,Crossref,10.1016/j.est.2025.118795,95.0,AUTHENTIC,Strong (ORCID + DOI),Automated bibliographic verification
